Ticker,Actural,Estimated,Released
NTAP,0.39,0.38,20161116
NTNX,-0.54,-0.28,20170302
NTRS,1.12,1.2262,20170719
NUAN,-0.12,0.0983,20170509
NUE,1,1.0057,20170720
NUS,0.79,0.7666,20170802
NVDA,0.49,0.4071,N/A
NVR,39.46,35.1921,20170721
NVT,N/A,N/A,N/A
NWL,0.46,0.87,20170804
NWS,-0.5,0.19,20170209
NWSA,-0.5,0.19,20170209
NXPI,0.15,0.2419,20170802
NYCB,0.22,0.22,20170726
O,0.3,0.3003,20170726
OC,0.86,1.2,20170726
ODFL,1.2,1.194,20170727
OFC,0.08,0.1125,20170727
OGE,0.52,0.5243,20170803
OHI,0.33,0.506,20170726
OI,0.86,0.75,20170731
OKE,0.34,0.332,20170801
OKTA,N/A,N/A,N/A
OLED,0.99,0.998,20170803
OLN,-0.04,0.022,20170731
OMC,1.41,1.4021,20170720
OMF,0.31,0.81,20170802
ON,0.22,0.2995,20170806
ORCL,0.5,0.5039,20161215
ORI,0.39,0.34,20170727
ORLY,3.14,3.0377,20170726
OSK,0.59,0.76,20170426
OUT,0.27,0.2803,20170803
OXY,0.66,0.15,20170802
OZK,0.73,0.7254,20170712
PACW,0.77,0.7805,20170718
PAG,1.23,1.23,20170727
PAH,-0.21,0.2,20170809
PANW,-0.67,-0.6416,20170228
PAYC,0.34,0.2418,20170801
PAYX,0.56,0.56,20161221
PB,0.99,1.022,20170726
PBCT,0.2,0.244,20170720
PBF,-1.01,-0.06,20170803
PCAR,1.06,1.0576,20170725
PCG,0.79,0.86,20170727
PE,0.17,0.05,20170802
PEG,0.22,0.62,20170728
PEGA,0.05,0.1375,20170809
PEN,-0.05,-0.0469,20170808
PEP,1.47,1.5,20170711
PFE,0.52,0.67,20170801
PFG,1.07,1.31,20170727
PFPT UQ Equity,-0.54,-0.59,20170727
PG,3.01,1.08,20170120
PGR,0.63,0.593,20170718
PGRE,0.44,-0.1318,20170803
PH,1.81,1.91,20170202
PHM,0.32,0.47,20170725
PII,0.99,1.16,20170720
PINC,8.0954,1.4608,20170206
PK,0.52,0.52,20170802
PKG,1.52,1.52,20170726
PKI,1.86,0.67,20170803
PLD,0.5,0.5,20170718
PM,1.14,1.14,20170720
PNC,2.12,2.1,20170714
PNFP,0.81,0.8393,20170718
PNR,1.45,1,20170725
PNW,1.5,1.4904,20170803
PODD,-0.13,-0.134,20170803
POOL,2.3,2.2078,20170720
POST,-0.08,0.55,20170508
PPC,0.94,0.93,20170802
PPG,1.93,1.83,20170720
PPL,0.43,0.52,20170803
PRAH,0.47,0.79,20170807
PRGO,-0.49,1.22,20170810
PRU,1.13,2.09,20170802
PS,-0.5673,N/A,N/A
PSA,1.59,1.59,20170726
PSTG,-0.31,-0.31,N/A
PSX,1.06,1.09,20170801
PTC,-0.01,0.0126,20170419
PTEN,-0.46,-0.1992,20170727
PVH,1.12,1.47,N/A
PWR,0.41,0.4319,20170803
PXD,1.36,0.21,20170801
PYPL,0.34,0.3383,20170726
QCOM,0.51,1.2984,20170419
QEP,0.19,-0.12,20170726
QGEN,0.06,0.25,20170727
QRTEA,0.388,0.4132,20170808
QRVO,0.09,0.1231,20161103
R,0.96,1,20170726
RBC,1.19,1.29,20170807
RCL,1.72,1.71,20170801
RE,5.98,5.51,20170724
REG,0.28,0.331,20170803
REGN,3.66,3.5071,20170803
RES,0.2,0.1903,20170726
REZI,N/A,N/A,20181002
RF,0.25,0.25,20170721
RGA,3.6,2.95,20170727
RGLD,0.43,0.36,20170201
RHI,0.64,0.642,20170725
RHT,0.33,0.3277,20160921
RIG,-4.32,-0.0997,20170802
RJF,0.78,1.28,20170426
RL,0.55,1.9,20161110
RLGY,0.79,0.766,20170803
RMD,0.54,0.73,20170123
RNG,-0.03,-0.0961,20170802
RNR,4.25,2.79,20170725
ROK,1.47,1.55,20170426
ROL,0.25,0.246,20170726
ROP,1.76,2.24,20170731
ROST,0.72,0.71,N/A
RP,0.08,0.1123,20170802
RPAI,0.48,-0.018,20170801
RPM,-0.54,0.52,20170105
RRC,0.28,0.0109,20170801
RS,1.41,1.4,20170727
RSG,0.6,0.61,20170727
RTN,1.9,1.8938,20170727
RVI,N/A,N/A,N/A
RYN,0.2,0.2,20170802
S,-0.04,-0.0775,20161025
SABR,-0.02,0.2612,20170801
SAGE UQ Equity,-1.88,-1.88,20170803
SATS,0.07,0.0681,20170809
SBAC,0.08,0.1413,20170731
SBNY,0.26,2.21,20170719
SBUX,0.45,0.45,20170427
SC,0.74,0.7356,20170728
SCCO,0.39,0.3877,20170727
SCG,0.85,0.8467,20170803
SCHW,0.4,0.3886,20170718
SCI,0.37,0.35,20170726
SEB UA Equity,49.5494,N/A,20170802
SEE,0.53,0.35,20170808
SEIC,0.58,0.5673,20170726
SERV,0.64,0.69,20170731
SFM,0.3,0.2951,20170803
SGEN,-0.39,-0.39,20170727
SHW,3.44,4.52,20170720
SIRI,0.04,0.0427,20170727
SITC,0.12,0.1361,20170726
SIVB,2.34,2.1843,20170727
SIX,0.6,0.5857,20170726
SJM,1.52,2.05,20161117
SKX,0.38,0.3812,20170720
SLB,-0.05,0.35,20170721
SLG,0.08,0.1202,20170719
SLGN,0.25,0.35,20170726
SLM,0.15,0.16,20170719
SM,-1.08,-0.32,20170803
SMG,2.76,2.78,20170502
SNA,2.65,2.5966,20170720
SNDR,0.27,0.23,20170801
SNH,0.07,0.1338,20170803
SNPS,0.35,0.5651,N/A
SNV,0.6,0.597,20170718
SO,-1.38,0.73,20170802
SON,0.43,0.71,20170720
SPB,-2.5426,N/A,20170505
SPG,1.23,1.6228,20170801
SPGI,1.63,1.72,20170727
SPLK,-0.65,-0.65,N/A
SPR,-0.48,1.57,20170802
SQ,-0.04,-0.0424,20170802
SRC,0.05,0.0716,20170803
SRCL,-1.74,1.15,20170803
SRE,1.03,1.1,20170804
SRPT,-1.15,-0.3695,20170719
SSNC,0.25,0.2577,20170727
ST,0.46,0.81,20170725
STAY,0.2571,0.31,20170801
STE,0.47,0.89,20161102
STI,1.05,1.03,20170721
STL,0.31,0.33,20170725
STLD,0.64,0.63,20170719
STOR,0.3536,0.2046,20170803
STT,1.56,1.67,20170726
STWD,0.45,0.52,20170809
STZ,1.7872,1.77,20161005
SUI,0.16,0.1684,20170726
SWCH,N/A,N/A,20170925
SWK,1.86,2.01,20170724
SWKS,1.22,1.2097,20170427
SYF,0.62,0.61,20170721
SYK,1.04,1.53,20170727
SYMC,-0.23,0.0009,20161103
SYY,0.5,0.58,20170206
T,0.63,0.79,20170725
TAP,1.53,2.1868,20170802
TCBI,0.98,0.9687,20170719
TCF,0.33,0.3292,20170724
TCO,0.22,0.2278,20170727
TDC,-0.03,0.0195,20170727
TDG,2.78,2.9921,20170509
TDS,0.09,0.1125,20170804
TDY,1.71,1.74,20170803
TEAM,-0.01,-0.0008,20170119
TECH,0.2,0.7,20170207
TER,0.88,0.9,20170726
TEX,1.05,0.51,20170801
TFSL,0.08,0.08,20170428
TFX,1.73,2.04,20170803
