Ticker,Actural,Estimated,Released
BR,0.25,0.39,2017-02-08T16:00:00
BRKR,0.15,0.23,2017-08-03T16:00:00
BRO,0.235,0.245,2017-07-17T16:00:00
BRX,0.25,0.2388,2017-07-31T16:00:00
BSX,0.11,0.32,2017-07-27T16:00:00
BWA,1.01,0.96,2017-07-27T16:00:00
BWXT,0.62,0.56,2017-08-07T16:00:00
BXP,0.87,0.749,2017-08-01T16:00:00
C,1.28,1.28,2017-07-14T16:00:00
CABO,4.91,5.5447,2017-08-08T16:00:00
CACC,5.09,5.22,2017-07-31T16:00:00
CAG,0.28,0.49,2016-12-22T16:00:00
CAH,1.02,1.34,2017-02-07T16:00:00
CASY,1.46,1.44,2016-12-07T16:00:00
CAT,1.36,1.49,2017-07-25T16:00:00
CB,2.79,2.5,2017-07-25T16:00:00
CBOE UF Equity,0.6,0.6335,2017-08-04T16:00:00
CBRE,0.6,0.65,2017-07-27T16:00:00
CBS,0.14,0.97,2017-08-07T16:00:00
CBSH,0.6803,0.6803,2017-07-13T16:00:00
CBT,1.1699,0.87,2017-05-01T16:00:00
CC,0.87,0.87,2017-08-02T16:00:00
CCI,0.31,0.326,2017-07-19T16:00:00
CCK,0.95,1.12,2017-07-19T16:00:00
CCL,0.52,0.52,2017-06-22T16:00:00
CDEV UR Equity,0.09,0.0631,2017-08-07T16:00:00
CDK,0.56,0.64,2017-02-02T16:00:00
CDNS,0.25,0.2536,2017-07-24T16:00:00
CDW,0.9,1.0994,2017-08-03T16:00:00
CE,1.67,1.79,2017-07-24T16:00:00
CELG,1.41,1.4319,2017-07-27T16:00:00
CERN,0.54,0.54,2017-07-27T16:00:00
CF,0.01,0.1,2017-08-02T16:00:00
CFG,0.63,0.6267,2017-07-21T16:00:00
CFR,1.3,1.2845,2017-07-27T16:00:00
CFX,0.43,0.43,2017-07-28T16:00:00
CGNX,0.165,0.315,2017-07-31T16:00:00
CHD,0.29,0.41,2017-08-03T16:00:00
CHE,-1.35,2.2495,2017-07-25T16:00:00
CHH,0.9,0.79,2017-08-02T16:00:00
CHK,0.52,0.16,2017-08-03T16:00:00
CHRW,0.79,0.7845,2017-07-19T16:00:00
CHTR,0.53,0.52,2017-07-27T16:00:00
CI,3.2,2.91,2017-08-04T16:00:00
CIM,0.56,0.6,2017-08-02T16:00:00
CINF,0.61,0.64,2017-08-02T16:00:00
CIT,0.86,0.68,2017-07-25T16:00:00
CL,0.59,0.72,2017-07-21T16:00:00
CLGX,0.49,0.5214,2017-07-25T16:00:00
CLH,0.45,0.24,2017-08-02T16:00:00
CLNY,0.07,0.0527,2017-08-08T16:00:00
CLR,-0.17,0,2017-08-08T16:00:00
CLX,1.16,1.2514,2017-02-03T16:00:00
CMA,1.15,1.15,2017-07-18T16:00:00
CMCSA,0.53,0.5226,2017-07-27T16:00:00
CMD,0.43,0.52,2017-03-09T16:00:00
CME,1.23,1.23,2017-08-01T16:00:00
CMG,2.33,2.32,2017-07-25T16:00:00
CMI,2.53,2.5268,2017-08-01T16:00:00
CMS,0.33,0.33,2017-07-28T16:00:00
CNA,1.01,0.88,2017-07-31T16:00:00
CNC,1.47,1.59,2017-07-25T16:00:00
CNDT,-0.03,0.16,2017-08-09T16:00:00
CNK,0.44,0.4672,2017-08-04T16:00:00
CNP,0.31,0.29,2017-08-03T16:00:00
CNX,0.74,0.17,2017-08-01T16:00:00
COF,1.96,1.9648,2017-07-20T16:00:00
COG,0.05,0.1265,2017-07-27T16:00:00
COHR,1.71,2.2141,2017-05-09T16:00:00
COLM,-0.17,-0.1271,2017-07-27T16:00:00
COMM,0.29,0.3521,2017-08-03T16:00:00
CONE,-0.01,0.0418,2017-08-02T16:00:00
COP,-2.78,0.14,2017-07-27T16:00:00
COR,0.46,0.4594,2017-07-27T16:00:00
COST,1.17,1.1687,2017-03-02T16:00:00
COTY,0.06,0.3,2017-02-09T16:00:00
CPA,1.49,1.48,2017-08-09T16:00:00
CPRT,0.29,0.29,2017-02-21T16:00:00
CPT,0.43,0.43,2017-07-27T16:00:00
CR,1.16,1.17,2017-07-24T16:00:00
CRI,0.78,0.79,2017-07-27T16:00:00
CRL,1.13,1.29,2017-08-09T16:00:00
CSGP,0.68,0.6854,2017-07-26T16:00:00
CSL,1.59,1.58,2017-07-25T16:00:00
